coin,name,datePrice,currentPrice,link_to_exch,fl_added
GNO,Gnosis,2017-12-15 21:01:51.695764+00:00,159.166,https://coinmarketcap.com/currencies/gnosis-gno/,True
RDN,Raiden Networ...,2017-12-15 21:01:51.695764+00:00,3.46225,https://coinmarketcap.com/currencies/raiden-network-token/,True
ICN,Iconomi,2017-12-15 21:01:51.695764+00:00,1.71009,https://coinmarketcap.com/currencies/iconomi/,True
MCO,Monaco,2017-12-15 21:01:51.695764+00:00,14.8279,https://coinmarketcap.com/currencies/monaco/,True
REQ,Request Network,2017-12-15 21:01:51.695764+00:00,0.261608,https://coinmarketcap.com/currencies/request-network/,True
GAME,GameCredits,2017-12-15 21:01:51.695764+00:00,2.5075,https://coinmarketcap.com/currencies/gamecredits/,True
BNT,Bancor,2017-12-15 21:01:51.695764+00:00,3.6998,https://coinmarketcap.com/currencies/bancor/,True
CVC,Civic,2017-12-15 21:01:51.695764+00:00,0.42389,https://coinmarketcap.com/currencies/civic/,True
AION,Aion,2017-12-15 21:01:51.695764+00:00,2.7358,https://coinmarketcap.com/currencies/aion/,True
NAV,NAV Coin,2017-12-15 21:01:51.695764+00:00,2.27679,https://coinmarketcap.com/currencies/nav-coin/,True
GXS,GXShares,2017-12-15 21:01:51.695764+00:00,3.36297,https://coinmarketcap.com/currencies/gxshares/,True
ETP,Metaverse ETP,2017-12-15 21:01:51.695764+00:00,3.3657,https://coinmarketcap.com/currencies/metaverse/,True
MTL,Metal,2017-12-15 21:01:51.695764+00:00,6.30885,https://coinmarketcap.com/currencies/metal/,True
LINK,ChainLink,2017-12-15 21:01:51.695764+00:00,0.345591,https://coinmarketcap.com/currencies/chainlink/,True
PURA,Pura,2017-12-15 21:01:51.695764+00:00,0.702133,https://coinmarketcap.com/currencies/pura/,True
R,Revain,2017-12-15 21:01:51.695764+00:00,0.648619,https://coinmarketcap.com/currencies/revain/,True
BLOCK,Blocknet,2017-12-15 21:01:51.695764+00:00,24.0504,https://coinmarketcap.com/currencies/blocknet/,True
RHOC,RChain,2017-12-15 21:01:51.695764+00:00,0.641875,https://coinmarketcap.com/currencies/rchain/,True
EDG,Edgeless,2017-12-15 21:01:51.695764+00:00,1.3948,https://coinmarketcap.com/currencies/edgeless/,True
STORJ,Storj,2017-12-15 21:01:51.695764+00:00,1.06265,https://coinmarketcap.com/currencies/storj/,True
PPC,Peercoin,2017-12-15 21:01:51.695764+00:00,4.2251,https://coinmarketcap.com/currencies/peercoin/,True
MNX,MinexCoin,2017-12-15 21:01:51.695764+00:00,34.507,https://coinmarketcap.com/currencies/minexcoin/,True
INK,Ink,2017-12-15 21:01:51.695764+00:00,0.579606,https://coinmarketcap.com/currencies/ink/,True
PPP,PayPie,2017-12-15 21:01:51.695764+00:00,1.25205,https://coinmarketcap.com/currencies/paypie/,True
ETHOS,Ethos,2017-12-15 21:01:51.695764+00:00,1.36754,https://coinmarketcap.com/currencies/ethos/,True
DRGN,Dragonchain,2017-12-15 21:01:51.695764+00:00,0.418969,https://coinmarketcap.com/currencies/dragonchain/,True
SUB,Substratum,2017-12-15 21:01:51.695764+00:00,0.435718,https://coinmarketcap.com/currencies/substratum/,True
ZEN,ZenCash,2017-12-15 21:01:51.695764+00:00,33.3933,https://coinmarketcap.com/currencies/zencash/,True
SNGLS,SingularDTV,2017-12-15 21:01:51.695764+00:00,0.149674,https://coinmarketcap.com/currencies/singulardtv/,True
SNM,SONM,2017-12-15 21:01:51.695764+00:00,0.246796,https://coinmarketcap.com/currencies/sonm/,True
BAY,BitBay,2017-12-15 21:01:51.695764+00:00,0.0875993,https://coinmarketcap.com/currencies/bitbay/,True
SKY,Skycoin,2017-12-15 21:01:51.695764+00:00,13.8554,https://coinmarketcap.com/currencies/skycoin/,True
FTC,Feathercoin,2017-12-15 21:01:51.695764+00:00,0.473204,https://coinmarketcap.com/currencies/feathercoin/,True
COB,Cobinhood,2017-12-15 21:01:51.695764+00:00,0.330167,https://coinmarketcap.com/currencies/cobinhood/,True
TNB,Time New Bank,2017-12-15 21:01:51.695764+00:00,0.0769142,https://coinmarketcap.com/currencies/time-new-bank/,True
ANT,Aragon,2017-12-15 21:01:51.695764+00:00,2.56099,https://coinmarketcap.com/currencies/aragon/,True
GRS,Groestlcoin,2017-12-15 21:01:51.695764+00:00,1.1934,https://coinmarketcap.com/currencies/groestlcoin/,True
ADX,AdEx,2017-12-15 21:01:51.695764+00:00,1.36696,https://coinmarketcap.com/currencies/adx-net/,True
UBQ,Ubiq,2017-12-15 21:01:51.695764+00:00,2.11432,https://coinmarketcap.com/currencies/ubiq/,True
XAS,Asch,2017-12-15 21:01:51.695764+00:00,0.892814,https://coinmarketcap.com/currencies/asch/,True
SMART,SmartCash,2017-12-15 21:01:51.695764+00:00,0.176149,https://coinmarketcap.com/currencies/smartcash/,True
ACT,Achain,2017-12-15 21:01:51.695764+00:00,0.26964,https://coinmarketcap.com/currencies/achain/,True
QRL,Quantum Resis...,2017-12-15 21:01:51.695764+00:00,1.54382,https://coinmarketcap.com/currencies/quantum-resistant-ledger/,True
ATM,ATMChain,2017-12-15 21:01:51.695764+00:00,0.0205949,https://coinmarketcap.com/currencies/attention-token-of-media/,True
LKK,Lykke,2017-12-15 21:01:51.695764+00:00,0.292808,https://coinmarketcap.com/currencies/lykke/,True
QSP,Quantstamp,2017-12-15 21:01:51.695764+00:00,0.124979,https://coinmarketcap.com/currencies/quantstamp/,True
PART,Particl,2017-12-15 21:01:51.695764+00:00,9.87215,https://coinmarketcap.com/currencies/particl/,True
XCP,Counterparty,2017-12-15 21:01:51.695764+00:00,28.0652,https://coinmarketcap.com/currencies/counterparty/,True
RCN,Ripio Credit ...,2017-12-15 21:01:51.695764+00:00,0.149845,https://coinmarketcap.com/currencies/ripio-credit-network/,True
LRC,Loopring,2017-12-15 21:01:51.695764+00:00,0.246245,https://coinmarketcap.com/currencies/loopring/,True
XBY,XTRABYTES,2017-12-15 21:01:51.695764+00:00,0.163562,https://coinmarketcap.com/currencies/xtrabytes/,True
RISE,Rise,2017-12-15 21:01:51.695764+00:00,0.606021,https://coinmarketcap.com/currencies/rise/,True
POT,PotCoin,2017-12-15 21:01:51.695764+00:00,0.30585,https://coinmarketcap.com/currencies/potcoin/,True
FAIR,FairCoin,2017-12-15 21:01:51.695764+00:00,1.25878,https://coinmarketcap.com/currencies/faircoin/,True
VOX,Voxels,2017-12-15 21:01:51.695764+00:00,0.318257,https://coinmarketcap.com/currencies/voxels/,True
YOYOW,YOYOW,2017-12-15 21:01:51.695764+00:00,0.315741,https://coinmarketcap.com/currencies/yoyow/,True
HMQ,Humaniq,2017-12-15 21:01:51.695764+00:00,0.394544,https://coinmarketcap.com/currencies/humaniq/,True
VIA,Viacoin,2017-12-15 21:01:51.695764+00:00,2.74764,https://coinmarketcap.com/currencies/viacoin/,True
